;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
1089;PATHFINDER R.JADE 4-EL BOSQUE DE LOS ESPIRITUS; $650,00 ; $975 ;NOVE;;1073;SOBRE MG LA LEALTAD DE RÁVNICA; $169,00 ; $287 ;;;;;;;;;;
1090;PATHFINDER R.JADE 5-MAREA DE HONOR; $650,00 ; $975 ;NOVE;;1074;BUNDLE MG LA LEALTAD DE RÁVNICA; $1.908,17 ; $3.463 ;Limitado;;;;;;;;;
1091;PATHFINDER R.JADE 6-EL TRONO VACIO; $650,00 ; $975 ;NOVE;;1051;SOBRE MG DOMINARIA; $169,00 ; $287 ;;;;;;;;;;
1063;THE ARTS OF MAGIC THE GATHERING: ZENDIKAR; $1.596,00 ; $2.394 ;;;1045;SOBRE MG BATALLA POR ZENDIKAR (Español); $169,00 ; $287 ;;;;;;;;;;
MONSTER PROTECTORS - ALBUMS;;;;;;1082;MAZO MG LA GUERRA DE LA CHISPA; $854,00 ; $1.550 ;;;;;;;;;;
2034;4 BOLSILLOS BINDER - BLANCO - HOJAS BLANCAS; $764,03 ; $1.387 ;;;1084;SOBRE MG LA GUERRA DE LA CHISPA (Inglés); $169,00 ; $287 ;;;;;;;;;;
2036;4 BOLSILLOS BINDER - BLANCO - MATTE DORADO; $764,03 ; $1.387 ;;;1085;SOBRE MG MODERM HORIZONS (Inglés); $329,00 ; $540 ;;;;;;;;;;
2037;4 BOLSILLOS BINDER - MATE NARANJA; $764,03 ; $1.387 ;;;¡Ultra•Pro! PROTECTORES DE CARTAS;;;;;;;;;;;;;
2039;4 BOLSILLOS BINDER - MATE AMARILLO; $764,03 ; $1.387 ;;;PROTECTORES ULTRA PRO LÍNEA ECLIPSE;;;;;;;;;;;;;
2080;4 BOLSILLOS BINDER - NEGRO / BLANCO ; $764,03 ; $1.387 ;;;2068;PROTECTOR Ultra Pro MATE ECLIPSE STD X 100 BLANCO; $509,36 ; $924 ;PROMO;OFERTA! 20% Descuento;;;;;;;;
